attack_signature,threat_name,threat_category,threat_description,mitigation_strategy,cve_references
SIG_00611,INAP Send Authentication Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2021-1437
SIG_00612,TCAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00613,MAP Any Time Interrogation Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00614,MAP Send Authentication Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00615,MAP Insert Subscriber Data Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00616,CAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00617,INAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00618,TCAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00619,INAP Send Authentication Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00620,INAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00621,MAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2023-2965
SIG_00622,MAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00623,CAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2022-8823
SIG_00624,CAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2022-7868
SIG_00625,TCAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2019-2702
SIG_00626,TCAP Send Routing Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2022-7395
SIG_00627,TCAP Any Time Interrogation Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00628,TCAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00629,MAP Insert Subscriber Data Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00630,MAP Insert Subscriber Data Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,CVE-2021-2523
SIG_00631,INAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00632,CAP Send Routing Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00633,TCAP Provide Subscriber Info Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2022-5792
SIG_00634,CAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00635,MAP Send Routing Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2022-2087
SIG_00636,MAP Send Authentication Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-9487
SIG_00637,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00638,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00639,CAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00640,TCAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2022-1470
SIG_00641,TCAP Provide Subscriber Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2024-5510
SIG_00642,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2020-2763
SIG_00643,INAP Send Authentication Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2021-6654
SIG_00644,INAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00645,MAP Provide Subscriber Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00646,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00647,INAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2022-5262
SIG_00648,CAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00649,MAP Provide Subscriber Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2021-5164
SIG_00650,CAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00651,CAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,CVE-2021-1173
SIG_00652,INAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2020-8524
SIG_00653,INAP Send Routing Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2021-5524
SIG_00654,TCAP Send Authentication Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00655,TCAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00656,CAP Send Routing Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00657,MAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00658,MAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2018-2931
SIG_00659,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00660,MAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2024-7279
SIG_00661,INAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00662,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00663,CAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00664,MAP Provide Subscriber Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00665,MAP Any Time Interrogation Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2021-5198
SIG_00666,TCAP Send Authentication Info Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00667,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2024-8575
SIG_00668,TCAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2019-3598
SIG_00669,INAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,CVE-2019-4055
SIG_00670,TCAP Update Location Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2020-9336
SIG_00671,MAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00672,INAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00673,INAP Update Location Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00674,TCAP Send Routing Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00675,TCAP Send Authentication Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,CVE-2019-2154
SIG_00676,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00677,INAP Any Time Interrogation Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00678,CAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00679,MAP Update Location Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00680,INAP Insert Subscriber Data Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00681,CAP Insert Subscriber Data Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00682,CAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2018-6194
SIG_00683,MAP Send Authentication Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00684,TCAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00685,INAP Insert Subscriber Data Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00686,CAP Provide Subscriber Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00687,MAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00688,INAP Any Time Interrogation Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-2044
SIG_00689,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,
SIG_00690,MAP Send Authentication Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00691,MAP Provide Subscriber Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00692,CAP Any Time Interrogation Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2021-6610
SIG_00693,INAP Send Routing Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00694,CAP Any Time Interrogation Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00695,CAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00696,CAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00697,MAP Send Routing Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2023-2566
SIG_00698,CAP Send Routing Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2023-1013
SIG_00699,MAP Any Time Interrogation Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00700,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00701,TCAP Provide Subscriber Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00702,MAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00703,CAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,CVE-2022-2142
SIG_00704,CAP Any Time Interrogation Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00705,MAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,CVE-2021-6578
SIG_00706,MAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2024-5537
SIG_00707,INAP Send Routing Info Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2021-2441
SIG_00708,INAP Insert Subscriber Data Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00709,CAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2022-5666
SIG_00710,INAP Any Time Interrogation Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2020-7010
SIG_00711,TCAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2024-5493
SIG_00712,TCAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2024-9803
SIG_00713,INAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,
SIG_00714,TCAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00715,CAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00716,TCAP Send Authentication Info Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00717,TCAP Update Location Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00718,MAP Update Location Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00719,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00720,INAP Provide Subscriber Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-8354
SIG_00721,MAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00722,MAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00723,CAP Update Location Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00724,CAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2024-6196
SIG_00725,INAP Send Routing Info Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00726,INAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00727,INAP Update Location Attack,DoS Attack,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00728,CAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00729,INAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00730,TCAP Insert Subscriber Data Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00731,MAP Any Time Interrogation Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00732,CAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00733,CAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00734,CAP Send Authentication Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00735,CAP Insert Subscriber Data Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00736,TCAP Insert Subscriber Data Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential fraud activity,Coordinate with roaming partner,
SIG_00737,CAP Update Location Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,
SIG_00738,CAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2022-6496
SIG_00739,TCAP Send Routing Info Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00740,INAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00741,MAP Provide Subscriber Info Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2024-6274
SIG_00742,TCAP Send Routing Info Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00743,MAP Send Authentication Info Attack,Location Tracking,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00744,TCAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00745,CAP Update Location Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential interception attempt,Rate limit signaling from source network,CVE-2023-5202
SIG_00746,TCAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00747,TCAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential network probing,Block source GT immediately,CVE-2024-1504
SIG_00748,TCAP Send Routing Info Attack,Unauthorized Access,Detected malicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00749,INAP Send Authentication Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00750,MAP Provide Subscriber Info Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00751,INAP Update Location Attack,Location Tracking,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00752,CAP Insert Subscriber Data Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00753,INAP Update Location Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,
SIG_00754,TCAP Provide Subscriber Info Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00755,TCAP Send Authentication Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2022-3595
SIG_00756,INAP Update Location Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00757,CAP Provide Subscriber Info Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,CVE-2024-7717
SIG_00758,TCAP Provide Subscriber Info Attack,Fraud,Detected malicious SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00759,INAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,CVE-2018-4451
SIG_00760,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Block source GT immediately,CVE-2018-6516
SIG_00761,CAP Send Routing Info Attack,SMS Interception,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00762,TCAP Insert Subscriber Data Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential fraud activity,Rate limit signaling from source network,
SIG_00763,CAP Insert Subscriber Data Attack,SMS Interception,Detected malicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00764,CAP Insert Subscriber Data Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Block source GT immediately,
SIG_00765,TCAP Update Location Attack,Spoofing,Detected malicious SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,
SIG_00766,INAP Provide Subscriber Info Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Rate limit signaling from source network,
SIG_00767,CAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,CVE-2023-9857
SIG_00768,MAP Any Time Interrogation Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00769,MAP Provide Subscriber Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,
SIG_00770,MAP Update Location Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,
SIG_00771,MAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-7932
SIG_00772,INAP Update Location Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Enable enhanced filtering rules,CVE-2024-2134
SIG_00773,MAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Implement geo-fencing restrictions,
SIG_00774,MAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2024-5249
SIG_00775,TCAP Insert Subscriber Data Attack,Location Tracking,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Coordinate with roaming partner,
SIG_00776,CAP Insert Subscriber Data Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,
SIG_00777,CAP Provide Subscriber Info Attack,Unauthorized Access,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Block source GT immediately,CVE-2018-5358
SIG_00778,TCAP Provide Subscriber Info Attack,Location Tracking,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,CVE-2020-5301
SIG_00779,TCAP Update Location Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00780,MAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential network probing,Implement geo-fencing restrictions,CVE-2023-2790
SIG_00781,MAP Send Routing Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential network probing,Enable enhanced filtering rules,
SIG_00782,TCAP Provide Subscriber Info Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,CVE-2018-5173
SIG_00783,INAP Any Time Interrogation Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00784,TCAP Any Time Interrogation Attack,Spoofing,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Coordinate with roaming partner,CVE-2018-1881
SIG_00785,CAP Send Authentication Info Attack,Unauthorized Access,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,
SIG_00786,INAP Insert Subscriber Data Attack,Spoofing,Detected unauthorized SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00787,MAP Any Time Interrogation Attack,SMS Interception,Detected anomalous SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00788,TCAP Send Routing Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00789,INAP Update Location Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,
SIG_00790,MAP Send Authentication Info Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential fraud activity,Alert security operations center,
SIG_00791,INAP Update Location Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Implement geo-fencing restrictions,CVE-2021-7689
SIG_00792,MAP Send Authentication Info Attack,Fraud,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Enable enhanced filtering rules,CVE-2023-3803
SIG_00793,CAP Update Location Attack,DoS Attack,Detected malicious SS7 signaling pattern indicating potential subscriber tracking,Implement geo-fencing restrictions,
SIG_00794,TCAP Update Location Attack,Fraud,Detected unauthorized SS7 signaling pattern indicating potential fraud activity,Block source GT immediately,
SIG_00795,MAP Provide Subscriber Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Enable enhanced filtering rules,CVE-2018-6731
SIG_00796,INAP Any Time Interrogation Attack,SMS Interception,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Alert security operations center,
SIG_00797,CAP Send Authentication Info Attack,Spoofing,Detected suspicious SS7 signaling pattern indicating potential interception attempt,Alert security operations center,
SIG_00798,CAP Insert Subscriber Data Attack,Fraud,Detected anomalous SS7 signaling pattern indicating potential network probing,Alert security operations center,
SIG_00799,MAP Insert Subscriber Data Attack,Unauthorized Access,Detected anomalous SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
SIG_00800,INAP Any Time Interrogation Attack,DoS Attack,Detected suspicious SS7 signaling pattern indicating potential subscriber tracking,Rate limit signaling from source network,CVE-2024-2501
SIG_00801,INAP Send Authentication Info Attack,DoS Attack,Detected unauthorized SS7 signaling pattern indicating potential network probing,Coordinate with roaming partner,
