experiment_id,experiment_name,retrieval_strategy,embedding_model,query_template,test_query,precision_at_5,recall_at_10,mrr_score,latency_ms,experiment_date,engineer_notes,deployed_to_production
EXP000673,Experiment 673 - semantic,composed,text-embedding-ada-002,Template 35,Search for campaign assets tagged with sustainability,0.7,0.558,0.932,210,2025-10-08 15:05:07.853910,Testing latency improvements,True
EXP000674,Experiment 674 - multi_step,filtered,all-MiniLM-L6-v2,Template 39,Search for brand-compliant social media templates,0.682,0.649,0.726,1261,2025-10-08 16:05:07.853910,Testing relevance improvements,True
EXP000675,Experiment 675 - filtered,filtered,bge-large-en,Template 40,Search for brand-compliant social media templates,0.925,0.724,0.913,2618,2025-10-08 17:05:07.853910,Testing performance improvements,False
EXP000676,Experiment 676 - semantic,composed,text-embedding-ada-002,Template 40,Search for campaign assets tagged with sustainability,0.908,0.718,0.598,1072,2025-10-08 18:05:07.853910,Testing latency improvements,True
EXP000677,Experiment 677 - filtered,multi_step,e5-large-v2,Template 2,Find approved logos suitable for digital and print use,0.361,0.575,0.721,305,2025-10-08 19:05:07.853910,Testing accuracy improvements,False
EXP000678,Experiment 678 - semantic,multi_step,bge-large-en,Template 25,Search for campaign assets tagged with sustainability,0.792,0.466,0.858,2785,2025-10-08 20:05:07.853910,Testing performance improvements,False
EXP000679,Experiment 679 - multi_step,keyword,all-MiniLM-L6-v2,Template 36,Search for brand-compliant social media templates,0.324,0.638,0.897,1019,2025-10-08 21:05:07.853910,Testing performance improvements,False
EXP000680,Experiment 680 - keyword,composed,all-MiniLM-L6-v2,Template 27,Find approved logos suitable for digital and print use,0.513,0.564,0.848,1622,2025-10-08 22:05:07.853910,Testing latency improvements,False
EXP000681,Experiment 681 - keyword,keyword,all-MiniLM-L6-v2,Template 32,Locate product demonstration videos from last quarter,0.794,0.712,0.813,1566,2025-10-08 23:05:07.853910,Testing relevance improvements,False
EXP000682,Experiment 682 - semantic,composed,all-MiniLM-L6-v2,Template 34,Search for brand-compliant social media templates,0.492,0.458,0.767,1642,2025-10-09 00:05:07.853910,Testing accuracy improvements,False
EXP000683,Experiment 683 - filtered,keyword,e5-large-v2,Template 38,Locate product demonstration videos from last quarter,0.812,0.655,0.646,2378,2025-10-09 01:05:07.853910,Testing latency improvements,False
EXP000684,Experiment 684 - filtered,filtered,text-embedding-ada-002,Template 36,Locate product demonstration videos from last quarter,0.335,0.689,0.67,2495,2025-10-09 02:05:07.853910,Testing accuracy improvements,False
EXP000685,Experiment 685 - semantic,multi_step,instructor-xl,Template 15,Find marketing assets for Q4 campaign with high engagement metrics,0.915,0.618,0.703,861,2025-10-09 03:05:07.853910,Testing relevance improvements,False
EXP000686,Experiment 686 - multi_step,semantic,all-MiniLM-L6-v2,Template 11,Find approved logos suitable for digital and print use,0.376,0.848,0.897,417,2025-10-09 04:05:07.853910,Testing accuracy improvements,False
EXP000687,Experiment 687 - keyword,composed,instructor-xl,Template 10,Search for campaign assets tagged with sustainability,0.345,0.651,0.791,346,2025-10-09 05:05:07.853910,Testing relevance improvements,True
EXP000688,Experiment 688 - hybrid,composed,gte-large,Template 32,Search for brand-compliant social media templates,0.485,0.527,0.625,2136,2025-10-09 06:05:07.853910,Testing accuracy improvements,False
EXP000689,Experiment 689 - multi_step,semantic,text-embedding-ada-002,Template 13,Find approved logos suitable for digital and print use,0.519,0.792,0.571,480,2025-10-09 07:05:07.853910,Testing latency improvements,False
EXP000690,Experiment 690 - hybrid,semantic,all-MiniLM-L6-v2,Template 6,Find approved logos suitable for digital and print use,0.738,0.729,0.561,1693,2025-10-09 08:05:07.853910,Testing latency improvements,True
EXP000691,Experiment 691 - semantic,keyword,all-MiniLM-L6-v2,Template 12,Search for brand-compliant social media templates,0.896,0.764,0.771,138,2025-10-09 09:05:07.853910,Testing performance improvements,True
EXP000692,Experiment 692 - semantic,composed,all-MiniLM-L6-v2,Template 25,Locate product demonstration videos from last quarter,0.638,0.853,0.794,147,2025-10-09 10:05:07.853910,Testing performance improvements,True
EXP000693,Experiment 693 - keyword,hybrid,instructor-xl,Template 11,Locate product demonstration videos from last quarter,0.303,0.48,0.821,1096,2025-10-09 11:05:07.853910,Testing accuracy improvements,False
EXP000694,Experiment 694 - hybrid,multi_step,bge-large-en,Template 33,Locate product demonstration videos from last quarter,0.602,0.767,0.595,2070,2025-10-09 12:05:07.853910,Testing latency improvements,False
EXP000695,Experiment 695 - keyword,filtered,all-MiniLM-L6-v2,Template 15,Search for campaign assets tagged with sustainability,0.373,0.421,0.768,349,2025-10-09 13:05:07.853910,Testing performance improvements,False
EXP000696,Experiment 696 - hybrid,keyword,bge-large-en,Template 12,Find approved logos suitable for digital and print use,0.793,0.477,0.544,394,2025-10-09 14:05:07.853910,Testing accuracy improvements,True
EXP000697,Experiment 697 - multi_step,composed,all-MiniLM-L6-v2,Template 23,Find approved logos suitable for digital and print use,0.459,0.852,0.971,2991,2025-10-09 15:05:07.853910,Testing performance improvements,False
EXP000698,Experiment 698 - composed,multi_step,instructor-xl,Template 39,Find marketing assets for Q4 campaign with high engagement metrics,0.796,0.798,0.947,1895,2025-10-09 16:05:07.853910,Testing relevance improvements,False
EXP000699,Experiment 699 - semantic,multi_step,text-embedding-ada-002,Template 22,Find marketing assets for Q4 campaign with high engagement metrics,0.872,0.494,0.81,2133,2025-10-09 17:05:07.853910,Testing performance improvements,False
EXP000700,Experiment 700 - hybrid,keyword,gte-large,Template 19,Search for campaign assets tagged with sustainability,0.735,0.776,0.874,181,2025-10-09 18:05:07.853910,Testing performance improvements,False
EXP000701,Experiment 701 - multi_step,composed,e5-large-v2,Template 21,Search for brand-compliant social media templates,0.939,0.68,0.64,532,2025-10-09 19:05:07.853910,Testing accuracy improvements,True
EXP000702,Experiment 702 - multi_step,semantic,instructor-xl,Template 31,Find marketing assets for Q4 campaign with high engagement metrics,0.913,0.888,0.65,871,2025-10-09 20:05:07.853910,Testing accuracy improvements,False
EXP000703,Experiment 703 - composed,composed,text-embedding-ada-002,Template 22,Find marketing assets for Q4 campaign with high engagement metrics,0.365,0.819,0.506,741,2025-10-09 21:05:07.853910,Testing performance improvements,False
EXP000704,Experiment 704 - keyword,keyword,gte-large,Template 4,Find approved logos suitable for digital and print use,0.667,0.451,0.755,2481,2025-10-09 22:05:07.853910,Testing relevance improvements,False
EXP000705,Experiment 705 - semantic,filtered,instructor-xl,Template 29,Locate product demonstration videos from last quarter,0.84,0.72,0.955,303,2025-10-09 23:05:07.853910,Testing latency improvements,False
EXP000706,Experiment 706 - hybrid,multi_step,instructor-xl,Template 24,Search for campaign assets tagged with sustainability,0.586,0.684,0.896,513,2025-10-10 00:05:07.853910,Testing performance improvements,False
EXP000707,Experiment 707 - keyword,semantic,bge-large-en,Template 12,Search for campaign assets tagged with sustainability,0.564,0.9,0.734,735,2025-10-10 01:05:07.853910,Testing latency improvements,True
EXP000708,Experiment 708 - hybrid,filtered,text-embedding-ada-002,Template 10,Locate product demonstration videos from last quarter,0.824,0.712,0.764,1383,2025-10-10 02:05:07.853910,Testing performance improvements,False
EXP000709,Experiment 709 - hybrid,filtered,gte-large,Template 18,Find marketing assets for Q4 campaign with high engagement metrics,0.368,0.48,0.662,757,2025-10-10 03:05:07.853910,Testing accuracy improvements,False
EXP000710,Experiment 710 - hybrid,multi_step,all-MiniLM-L6-v2,Template 4,Find marketing assets for Q4 campaign with high engagement metrics,0.676,0.813,0.953,1850,2025-10-10 04:05:07.853910,Testing performance improvements,False
EXP000711,Experiment 711 - semantic,keyword,gte-large,Template 2,Find approved logos suitable for digital and print use,0.95,0.609,0.761,230,2025-10-10 05:05:07.853910,Testing relevance improvements,True
EXP000712,Experiment 712 - hybrid,hybrid,all-MiniLM-L6-v2,Template 3,Locate product demonstration videos from last quarter,0.6,0.573,0.926,134,2025-10-10 06:05:07.853910,Testing relevance improvements,False
EXP000713,Experiment 713 - hybrid,composed,e5-large-v2,Template 30,Find approved logos suitable for digital and print use,0.405,0.9,0.872,2806,2025-10-10 07:05:07.853910,Testing performance improvements,False
EXP000714,Experiment 714 - semantic,filtered,instructor-xl,Template 39,Find marketing assets for Q4 campaign with high engagement metrics,0.851,0.702,0.534,193,2025-10-10 08:05:07.853910,Testing performance improvements,False
EXP000715,Experiment 715 - composed,keyword,instructor-xl,Template 34,Search for brand-compliant social media templates,0.791,0.711,0.559,524,2025-10-10 09:05:07.853910,Testing relevance improvements,False
EXP000716,Experiment 716 - hybrid,keyword,e5-large-v2,Template 32,Locate product demonstration videos from last quarter,0.719,0.413,0.65,1732,2025-10-10 10:05:07.853910,Testing performance improvements,False
EXP000717,Experiment 717 - keyword,multi_step,gte-large,Template 27,Search for campaign assets tagged with sustainability,0.589,0.611,0.798,1286,2025-10-10 11:05:07.853910,Testing relevance improvements,False
EXP000718,Experiment 718 - keyword,multi_step,e5-large-v2,Template 17,Search for brand-compliant social media templates,0.557,0.588,0.835,2527,2025-10-10 12:05:07.853910,Testing performance improvements,False
EXP000719,Experiment 719 - hybrid,hybrid,e5-large-v2,Template 37,Search for brand-compliant social media templates,0.646,0.459,0.713,1461,2025-10-10 13:05:07.853910,Testing latency improvements,False
EXP000720,Experiment 720 - hybrid,hybrid,instructor-xl,Template 36,Find approved logos suitable for digital and print use,0.781,0.438,0.651,2730,2025-10-10 14:05:07.853910,Testing performance improvements,True
EXP000721,Experiment 721 - hybrid,hybrid,instructor-xl,Template 16,Search for campaign assets tagged with sustainability,0.542,0.577,0.691,1291,2025-10-10 15:05:07.853910,Testing performance improvements,True
EXP000722,Experiment 722 - hybrid,semantic,bge-large-en,Template 23,Search for campaign assets tagged with sustainability,0.587,0.81,0.531,2374,2025-10-10 16:05:07.853910,Testing performance improvements,False
EXP000723,Experiment 723 - semantic,semantic,text-embedding-ada-002,Template 4,Search for campaign assets tagged with sustainability,0.853,0.737,0.72,1233,2025-10-10 17:05:07.853910,Testing accuracy improvements,True
EXP000724,Experiment 724 - keyword,composed,gte-large,Template 24,Search for brand-compliant social media templates,0.504,0.774,0.945,2037,2025-10-10 18:05:07.853910,Testing relevance improvements,False
EXP000725,Experiment 725 - semantic,keyword,all-MiniLM-L6-v2,Template 9,Find marketing assets for Q4 campaign with high engagement metrics,0.748,0.445,0.523,773,2025-10-10 19:05:07.853910,Testing performance improvements,False
EXP000726,Experiment 726 - semantic,multi_step,all-MiniLM-L6-v2,Template 9,Find marketing assets for Q4 campaign with high engagement metrics,0.696,0.53,0.504,1251,2025-10-10 20:05:07.853910,Testing latency improvements,False
EXP000727,Experiment 727 - filtered,multi_step,e5-large-v2,Template 10,Locate product demonstration videos from last quarter,0.93,0.483,0.667,1509,2025-10-10 21:05:07.853910,Testing relevance improvements,False
EXP000728,Experiment 728 - keyword,composed,e5-large-v2,Template 14,Search for campaign assets tagged with sustainability,0.466,0.661,0.927,1315,2025-10-10 22:05:07.853910,Testing accuracy improvements,False
EXP000729,Experiment 729 - multi_step,multi_step,text-embedding-ada-002,Template 18,Search for campaign assets tagged with sustainability,0.865,0.455,0.603,932,2025-10-10 23:05:07.853910,Testing accuracy improvements,False
EXP000730,Experiment 730 - keyword,keyword,instructor-xl,Template 22,Find marketing assets for Q4 campaign with high engagement metrics,0.947,0.628,0.598,2456,2025-10-11 00:05:07.853910,Testing performance improvements,False
EXP000731,Experiment 731 - hybrid,keyword,e5-large-v2,Template 38,Locate product demonstration videos from last quarter,0.904,0.482,0.925,1942,2025-10-11 01:05:07.853910,Testing relevance improvements,False
EXP000732,Experiment 732 - multi_step,filtered,text-embedding-ada-002,Template 34,Find approved logos suitable for digital and print use,0.444,0.601,0.751,1073,2025-10-11 02:05:07.853910,Testing accuracy improvements,False
EXP000733,Experiment 733 - filtered,semantic,instructor-xl,Template 35,Search for brand-compliant social media templates,0.315,0.617,0.9,1328,2025-10-11 03:05:07.853910,Testing performance improvements,False
EXP000734,Experiment 734 - hybrid,composed,e5-large-v2,Template 30,Find marketing assets for Q4 campaign with high engagement metrics,0.764,0.436,0.615,1693,2025-10-11 04:05:07.853910,Testing latency improvements,True
EXP000735,Experiment 735 - filtered,semantic,all-MiniLM-L6-v2,Template 30,Find marketing assets for Q4 campaign with high engagement metrics,0.358,0.563,0.532,1644,2025-10-11 05:05:07.853910,Testing accuracy improvements,False
EXP000736,Experiment 736 - hybrid,hybrid,gte-large,Template 36,Find approved logos suitable for digital and print use,0.478,0.625,0.615,2805,2025-10-11 06:05:07.853910,Testing performance improvements,True
EXP000737,Experiment 737 - multi_step,hybrid,bge-large-en,Template 14,Find approved logos suitable for digital and print use,0.601,0.529,0.553,2602,2025-10-11 07:05:07.853910,Testing relevance improvements,False
EXP000738,Experiment 738 - filtered,composed,text-embedding-ada-002,Template 31,Search for campaign assets tagged with sustainability,0.457,0.467,0.861,2150,2025-10-11 08:05:07.853910,Testing latency improvements,False
EXP000739,Experiment 739 - composed,composed,bge-large-en,Template 28,Locate product demonstration videos from last quarter,0.833,0.67,0.844,1555,2025-10-11 09:05:07.853910,Testing accuracy improvements,False
EXP000740,Experiment 740 - filtered,filtered,instructor-xl,Template 17,Find approved logos suitable for digital and print use,0.473,0.614,0.534,2647,2025-10-11 10:05:07.853910,Testing accuracy improvements,True
EXP000741,Experiment 741 - hybrid,hybrid,bge-large-en,Template 22,Locate product demonstration videos from last quarter,0.418,0.78,0.814,2179,2025-10-11 11:05:07.853910,Testing latency improvements,True
EXP000742,Experiment 742 - keyword,semantic,instructor-xl,Template 27,Search for campaign assets tagged with sustainability,0.73,0.864,0.554,506,2025-10-11 12:05:07.853910,Testing latency improvements,False
EXP000743,Experiment 743 - hybrid,filtered,instructor-xl,Template 16,Find marketing assets for Q4 campaign with high engagement metrics,0.321,0.619,0.772,275,2025-10-11 13:05:07.853910,Testing accuracy improvements,False
EXP000744,Experiment 744 - hybrid,semantic,gte-large,Template 1,Find approved logos suitable for digital and print use,0.914,0.678,0.523,1990,2025-10-11 14:05:07.853910,Testing relevance improvements,False
EXP000745,Experiment 745 - keyword,multi_step,e5-large-v2,Template 14,Search for campaign assets tagged with sustainability,0.57,0.546,0.565,463,2025-10-11 15:05:07.853910,Testing relevance improvements,False
EXP000746,Experiment 746 - keyword,composed,e5-large-v2,Template 34,Find approved logos suitable for digital and print use,0.635,0.551,0.532,2879,2025-10-11 16:05:07.853910,Testing relevance improvements,True
EXP000747,Experiment 747 - semantic,composed,gte-large,Template 12,Find marketing assets for Q4 campaign with high engagement metrics,0.631,0.804,0.612,1056,2025-10-11 17:05:07.853910,Testing relevance improvements,True
EXP000748,Experiment 748 - multi_step,hybrid,bge-large-en,Template 32,Find marketing assets for Q4 campaign with high engagement metrics,0.444,0.764,0.786,2833,2025-10-11 18:05:07.853910,Testing relevance improvements,False
EXP000749,Experiment 749 - hybrid,multi_step,instructor-xl,Template 23,Locate product demonstration videos from last quarter,0.738,0.665,0.753,2212,2025-10-11 19:05:07.853910,Testing performance improvements,False
EXP000750,Experiment 750 - filtered,composed,bge-large-en,Template 2,Search for brand-compliant social media templates,0.666,0.899,0.733,1255,2025-10-11 20:05:07.853910,Testing latency improvements,False
EXP000751,Experiment 751 - filtered,semantic,e5-large-v2,Template 25,Locate product demonstration videos from last quarter,0.558,0.652,0.955,238,2025-10-11 21:05:07.853910,Testing relevance improvements,False
EXP000752,Experiment 752 - keyword,semantic,instructor-xl,Template 27,Find approved logos suitable for digital and print use,0.398,0.795,0.677,1541,2025-10-11 22:05:07.853910,Testing relevance improvements,False
EXP000753,Experiment 753 - keyword,composed,bge-large-en,Template 35,Search for campaign assets tagged with sustainability,0.344,0.566,0.583,751,2025-10-11 23:05:07.853910,Testing accuracy improvements,True
EXP000754,Experiment 754 - composed,keyword,gte-large,Template 29,Search for brand-compliant social media templates,0.538,0.638,0.814,2076,2025-10-12 00:05:07.853910,Testing latency improvements,False
EXP000755,Experiment 755 - hybrid,hybrid,e5-large-v2,Template 8,Find marketing assets for Q4 campaign with high engagement metrics,0.37,0.546,0.5,275,2025-10-12 01:05:07.853910,Testing accuracy improvements,True
EXP000756,Experiment 756 - semantic,semantic,text-embedding-ada-002,Template 19,Search for brand-compliant social media templates,0.491,0.667,0.816,2660,2025-10-12 02:05:07.853910,Testing accuracy improvements,True
EXP000757,Experiment 757 - filtered,semantic,bge-large-en,Template 3,Search for campaign assets tagged with sustainability,0.403,0.447,0.673,1046,2025-10-12 03:05:07.853910,Testing accuracy improvements,True
EXP000758,Experiment 758 - keyword,keyword,e5-large-v2,Template 14,Search for campaign assets tagged with sustainability,0.634,0.682,0.81,2224,2025-10-12 04:05:07.853910,Testing accuracy improvements,False
EXP000759,Experiment 759 - keyword,semantic,text-embedding-ada-002,Template 21,Locate product demonstration videos from last quarter,0.793,0.725,0.641,2026,2025-10-12 05:05:07.853910,Testing accuracy improvements,False
EXP000760,Experiment 760 - multi_step,hybrid,all-MiniLM-L6-v2,Template 3,Locate product demonstration videos from last quarter,0.664,0.511,0.858,531,2025-10-12 06:05:07.853910,Testing latency improvements,True
EXP000761,Experiment 761 - composed,hybrid,e5-large-v2,Template 40,Find marketing assets for Q4 campaign with high engagement metrics,0.487,0.783,0.576,2353,2025-10-12 07:05:07.853910,Testing latency improvements,False
EXP000762,Experiment 762 - semantic,filtered,all-MiniLM-L6-v2,Template 35,Find approved logos suitable for digital and print use,0.911,0.43,0.737,488,2025-10-12 08:05:07.853910,Testing relevance improvements,False
EXP000763,Experiment 763 - semantic,multi_step,text-embedding-ada-002,Template 23,Find marketing assets for Q4 campaign with high engagement metrics,0.605,0.454,0.926,2749,2025-10-12 09:05:07.853910,Testing performance improvements,True
EXP000764,Experiment 764 - keyword,filtered,text-embedding-ada-002,Template 5,Search for campaign assets tagged with sustainability,0.674,0.748,0.906,1749,2025-10-12 10:05:07.853910,Testing latency improvements,False
EXP000765,Experiment 765 - composed,semantic,bge-large-en,Template 13,Search for campaign assets tagged with sustainability,0.465,0.826,0.95,1636,2025-10-12 11:05:07.853910,Testing relevance improvements,False
EXP000766,Experiment 766 - hybrid,semantic,bge-large-en,Template 39,Locate product demonstration videos from last quarter,0.769,0.531,0.917,711,2025-10-12 12:05:07.853910,Testing latency improvements,False
EXP000767,Experiment 767 - semantic,filtered,text-embedding-ada-002,Template 29,Locate product demonstration videos from last quarter,0.677,0.761,0.908,2184,2025-10-12 13:05:07.853910,Testing relevance improvements,True
EXP000768,Experiment 768 - hybrid,composed,bge-large-en,Template 21,Search for brand-compliant social media templates,0.416,0.526,0.96,2214,2025-10-12 14:05:07.853910,Testing latency improvements,False
EXP000769,Experiment 769 - hybrid,filtered,bge-large-en,Template 23,Find marketing assets for Q4 campaign with high engagement metrics,0.855,0.535,0.649,1915,2025-10-12 15:05:07.853910,Testing relevance improvements,False
EXP000770,Experiment 770 - multi_step,keyword,text-embedding-ada-002,Template 9,Search for brand-compliant social media templates,0.389,0.846,0.728,1781,2025-10-12 16:05:07.853910,Testing performance improvements,True
EXP000771,Experiment 771 - composed,filtered,text-embedding-ada-002,Template 26,Find approved logos suitable for digital and print use,0.3,0.78,0.671,2035,2025-10-12 17:05:07.853910,Testing performance improvements,False
EXP000772,Experiment 772 - filtered,filtered,gte-large,Template 21,Search for brand-compliant social media templates,0.324,0.805,0.543,1259,2025-10-12 18:05:07.853910,Testing accuracy improvements,False
EXP000773,Experiment 773 - filtered,hybrid,e5-large-v2,Template 4,Search for campaign assets tagged with sustainability,0.678,0.627,0.774,1606,2025-10-12 19:05:07.853910,Testing accuracy improvements,False
EXP000774,Experiment 774 - composed,multi_step,e5-large-v2,Template 34,Find marketing assets for Q4 campaign with high engagement metrics,0.51,0.827,0.613,1480,2025-10-12 20:05:07.853910,Testing accuracy improvements,False
EXP000775,Experiment 775 - composed,hybrid,gte-large,Template 40,Locate product demonstration videos from last quarter,0.521,0.5,0.973,1635,2025-10-12 21:05:07.853910,Testing accuracy improvements,False
EXP000776,Experiment 776 - filtered,keyword,e5-large-v2,Template 5,Search for brand-compliant social media templates,0.76,0.668,0.675,1801,2025-10-12 22:05:07.853910,Testing relevance improvements,True
EXP000777,Experiment 777 - hybrid,multi_step,bge-large-en,Template 23,Find marketing assets for Q4 campaign with high engagement metrics,0.487,0.718,0.566,2544,2025-10-12 23:05:07.853910,Testing accuracy improvements,False
EXP000778,Experiment 778 - filtered,hybrid,all-MiniLM-L6-v2,Template 37,Find approved logos suitable for digital and print use,0.535,0.84,0.651,2180,2025-10-13 00:05:07.853910,Testing accuracy improvements,False
EXP000779,Experiment 779 - semantic,keyword,gte-large,Template 24,Locate product demonstration videos from last quarter,0.886,0.751,0.606,551,2025-10-13 01:05:07.853910,Testing latency improvements,True
EXP000780,Experiment 780 - semantic,multi_step,all-MiniLM-L6-v2,Template 7,Find approved logos suitable for digital and print use,0.5,0.757,0.721,1142,2025-10-13 02:05:07.853910,Testing latency improvements,False
EXP000781,Experiment 781 - semantic,composed,bge-large-en,Template 16,Search for brand-compliant social media templates,0.576,0.44,0.525,2159,2025-10-13 03:05:07.853910,Testing performance improvements,False
EXP000782,Experiment 782 - keyword,keyword,e5-large-v2,Template 24,Find approved logos suitable for digital and print use,0.428,0.536,0.505,364,2025-10-13 04:05:07.853910,Testing accuracy improvements,True
EXP000783,Experiment 783 - keyword,composed,gte-large,Template 3,Locate product demonstration videos from last quarter,0.589,0.401,0.77,821,2025-10-13 05:05:07.853910,Testing relevance improvements,False
EXP000784,Experiment 784 - keyword,multi_step,all-MiniLM-L6-v2,Template 40,Locate product demonstration videos from last quarter,0.784,0.832,0.749,363,2025-10-13 06:05:07.853910,Testing relevance improvements,False
EXP000785,Experiment 785 - multi_step,keyword,text-embedding-ada-002,Template 2,Find marketing assets for Q4 campaign with high engagement metrics,0.798,0.488,0.798,535,2025-10-13 07:05:07.853910,Testing relevance improvements,True
EXP000786,Experiment 786 - hybrid,semantic,gte-large,Template 27,Locate product demonstration videos from last quarter,0.947,0.436,0.931,1601,2025-10-13 08:05:07.853910,Testing latency improvements,False
EXP000787,Experiment 787 - semantic,filtered,all-MiniLM-L6-v2,Template 7,Locate product demonstration videos from last quarter,0.499,0.478,0.665,2270,2025-10-13 09:05:07.853910,Testing performance improvements,True
EXP000788,Experiment 788 - semantic,hybrid,text-embedding-ada-002,Template 4,Locate product demonstration videos from last quarter,0.643,0.879,0.728,2967,2025-10-13 10:05:07.853910,Testing relevance improvements,False
EXP000789,Experiment 789 - multi_step,filtered,all-MiniLM-L6-v2,Template 7,Locate product demonstration videos from last quarter,0.605,0.628,0.94,1841,2025-10-13 11:05:07.853910,Testing accuracy improvements,False
EXP000790,Experiment 790 - composed,filtered,bge-large-en,Template 40,Search for brand-compliant social media templates,0.676,0.883,0.583,857,2025-10-13 12:05:07.853910,Testing latency improvements,True
EXP000791,Experiment 791 - composed,multi_step,text-embedding-ada-002,Template 11,Locate product demonstration videos from last quarter,0.389,0.757,0.583,1954,2025-10-13 13:05:07.853910,Testing relevance improvements,False
EXP000792,Experiment 792 - keyword,hybrid,bge-large-en,Template 40,Locate product demonstration videos from last quarter,0.478,0.504,0.515,2114,2025-10-13 14:05:07.853910,Testing accuracy improvements,False
EXP000793,Experiment 793 - filtered,composed,gte-large,Template 22,Find marketing assets for Q4 campaign with high engagement metrics,0.561,0.602,0.757,1371,2025-10-13 15:05:07.853910,Testing latency improvements,True
EXP000794,Experiment 794 - composed,filtered,bge-large-en,Template 10,Search for campaign assets tagged with sustainability,0.774,0.466,0.655,700,2025-10-13 16:05:07.853910,Testing performance improvements,False
EXP000795,Experiment 795 - filtered,multi_step,e5-large-v2,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.675,0.555,0.853,1056,2025-10-13 17:05:07.853910,Testing performance improvements,False
EXP000796,Experiment 796 - multi_step,semantic,bge-large-en,Template 40,Find marketing assets for Q4 campaign with high engagement metrics,0.947,0.716,0.889,927,2025-10-13 18:05:07.853910,Testing performance improvements,False
EXP000797,Experiment 797 - semantic,keyword,all-MiniLM-L6-v2,Template 34,Locate product demonstration videos from last quarter,0.371,0.527,0.944,1795,2025-10-13 19:05:07.853910,Testing accuracy improvements,False
EXP000798,Experiment 798 - semantic,filtered,bge-large-en,Template 18,Find marketing assets for Q4 campaign with high engagement metrics,0.323,0.77,0.818,1322,2025-10-13 20:05:07.853910,Testing latency improvements,False
EXP000799,Experiment 799 - hybrid,keyword,e5-large-v2,Template 13,Find marketing assets for Q4 campaign with high engagement metrics,0.458,0.881,0.923,655,2025-10-13 21:05:07.853910,Testing relevance improvements,True
EXP000800,Experiment 800 - keyword,semantic,instructor-xl,Template 14,Find approved logos suitable for digital and print use,0.531,0.627,0.677,1754,2025-10-13 22:05:07.853910,Testing performance improvements,False
EXP000801,Experiment 801 - semantic,keyword,all-MiniLM-L6-v2,Template 5,Search for campaign assets tagged with sustainability,0.362,0.77,0.617,1786,2025-10-13 23:05:07.853910,Testing relevance improvements,True
EXP000802,Experiment 802 - multi_step,composed,bge-large-en,Template 24,Locate product demonstration videos from last quarter,0.774,0.455,0.932,1110,2025-10-14 00:05:07.853910,Testing latency improvements,False
EXP000803,Experiment 803 - composed,keyword,all-MiniLM-L6-v2,Template 6,Find marketing assets for Q4 campaign with high engagement metrics,0.445,0.435,0.569,2568,2025-10-14 01:05:07.853910,Testing performance improvements,False
EXP000804,Experiment 804 - keyword,keyword,e5-large-v2,Template 40,Search for campaign assets tagged with sustainability,0.345,0.451,0.679,1196,2025-10-14 02:05:07.853910,Testing latency improvements,True
EXP000805,Experiment 805 - hybrid,composed,text-embedding-ada-002,Template 6,Search for campaign assets tagged with sustainability,0.924,0.659,0.772,901,2025-10-14 03:05:07.853910,Testing latency improvements,False
EXP000806,Experiment 806 - hybrid,multi_step,all-MiniLM-L6-v2,Template 20,Search for brand-compliant social media templates,0.924,0.52,0.721,1158,2025-10-14 04:05:07.853910,Testing accuracy improvements,True
EXP000807,Experiment 807 - multi_step,composed,gte-large,Template 35,Find marketing assets for Q4 campaign with high engagement metrics,0.542,0.68,0.827,2151,2025-10-14 05:05:07.853910,Testing accuracy improvements,False
EXP000808,Experiment 808 - hybrid,keyword,bge-large-en,Template 23,Find marketing assets for Q4 campaign with high engagement metrics,0.709,0.629,0.704,329,2025-10-14 06:05:07.853910,Testing performance improvements,False
EXP000809,Experiment 809 - composed,filtered,bge-large-en,Template 3,Find marketing assets for Q4 campaign with high engagement metrics,0.446,0.476,0.556,2654,2025-10-14 07:05:07.853910,Testing latency improvements,False
EXP000810,Experiment 810 - multi_step,hybrid,all-MiniLM-L6-v2,Template 28,Locate product demonstration videos from last quarter,0.825,0.556,0.701,2014,2025-10-14 08:05:07.853910,Testing accuracy improvements,True
EXP000811,Experiment 811 - multi_step,filtered,gte-large,Template 23,Search for campaign assets tagged with sustainability,0.395,0.819,0.536,2077,2025-10-14 09:05:07.853910,Testing accuracy improvements,True
EXP000812,Experiment 812 - multi_step,filtered,text-embedding-ada-002,Template 40,Find approved logos suitable for digital and print use,0.939,0.494,0.629,449,2025-10-14 10:05:07.853910,Testing latency improvements,True
EXP000813,Experiment 813 - multi_step,multi_step,all-MiniLM-L6-v2,Template 3,Search for brand-compliant social media templates,0.846,0.495,0.878,594,2025-10-14 11:05:07.853910,Testing performance improvements,False
EXP000814,Experiment 814 - hybrid,hybrid,bge-large-en,Template 37,Find approved logos suitable for digital and print use,0.718,0.848,0.887,2661,2025-10-14 12:05:07.853910,Testing latency improvements,False
EXP000815,Experiment 815 - multi_step,hybrid,instructor-xl,Template 36,Find approved logos suitable for digital and print use,0.442,0.55,0.533,2553,2025-10-14 13:05:07.853910,Testing relevance improvements,False
EXP000816,Experiment 816 - filtered,composed,e5-large-v2,Template 38,Search for brand-compliant social media templates,0.494,0.414,0.975,1455,2025-10-14 14:05:07.853910,Testing relevance improvements,False
